시군명,등록동물수,등록소유자수,관공서,위도,경도,총인구수,1000명당마리수,1소유자당마리수,평균연령,남자평균연령,여자평균연령
가평군,4017,2006.0,가평군청,37.8313181,127.5097056,62168,64.62,2.0,50.3,49.1,51.6
고양시,73477,54580.0,고양시청,37.65842171,126.8319642,1079277,68.08,1.35,42.9,42.0,43.9
과천시,2974,2325.0,과천시청,37.4298116,126.9869625,78301,37.98,1.28,41.5,40.4,42.5
광명시,20161,15698.0,광명시청,37.479097,126.864846,290756,69.34,1.28,42.7,41.6,43.8
광주시,29042,19368.0,광주시청,37.42943296,127.255084,388893,74.68,1.5,42.6,42.0,43.3
구리시,12381,9279.0,구리시청,37.5944123,127.1307833,191011,64.82,1.33,43.2,42.3,44.0
군포시,15480,12226.0,군포시청,37.3612539,126.9361499,267493,57.87,1.27,43.0,41.9,44.1
김포시,7912,6388.0,김포시청,37.61522364,126.7157055,485609,16.29,1.24,40.4,39.8,41.0
남양주시,42957,31542.0,남양주시청,37.6366920245,127.2174958647,734642,58.47,1.36,42.3,41.4,43.1
동두천시,6998,4827.0,동두천시청,37.90341068,127.0615412,93260,75.04,1.45,46.4,45.1,47.8
부천시,113892,86532.0,부천시청,37.5029019,126.765889,801503,142.1,1.32,43.6,42.6,44.6
성남시,55728,43137.0,성남시청,37.4201774,127.1262817,928267,60.03,1.29,42.8,42.0,43.7
수원시,65330,50256.0,수원시청,37.2634461555,127.0287274236,1188234,54.98,1.3,41.1,40.2,42.0
시흥시,30539,22994.0,시흥시청,37.38042164,126.8040627,512721,59.56,1.33,40.2,39.7,40.7
안산시,86158,64634.0,안산시청,37.3221311,126.8302427,650708,132.41,1.33,42.2,41.4,43.0
안성시,19950,13610.0,안성시청,37.0080147,127.2804867,189772,105.13,1.47,44.7,43.5,46.0
안양시,35644,28091.0,안양시청,37.395206289,126.9582878965,549724,64.84,1.27,43.0,42.0,43.9
양주시,11848,8581.0,양주시청,37.78534893,127.0449188,236142,50.17,1.38,43.3,42.5,44.1
양평군,13291,7308.0,양평군청,37.491741,127.4876821,121789,109.13,1.82,49.6,48.5,50.8
여주시,5252,3365.0,여주시청,37.2982139,127.6366234,112410,46.72,1.56,47.7,46.6,48.8
연천군,2020,1384.0,연천군청,38.0965166652,127.0752280078,42731,47.27,1.46,49.5,47.3,51.8
오산시,14471,11004.0,오산시청,37.1490355,127.0776652,230028,62.91,1.32,39.4,38.8,40.1
용인시,50227,38348.0,용인시청,37.240867,127.1779688,1075877,46.68,1.31,41.3,40.5,42.1
의왕시,6590,5082.0,의왕시청,37.3453186,126.9679891,162137,40.64,1.3,43.0,42.0,43.9
의정부시,58997,0.0,의정부시청,37.738063,127.03384,464358,127.05,inf,43.5,42.4,44.5
이천시,13147,9180.0,이천시청,37.272374,127.435044,222722,59.03,1.43,42.3,41.3,43.4
파주시,24057,16584.0,파주시청,37.7600413,126.7798768,486515,49.45,1.45,41.7,40.8,42.7
평택시,60468,43718.0,평택시청,36.9923004,127.1125266,569369,106.2,1.38,40.9,40.0,41.9
포천시,11168,5719.0,포천시청,37.8947009,127.2003411,148469,75.22,1.95,47.5,46.4,48.8
하남시,17634,13085.0,하남시청,37.5390571,127.2155298,323558,54.5,1.35,40.7,40.2,41.2
화성시,48264,35496.0,화성시청,37.199415,126.831523,892038,54.11,1.36,38.1,37.7,38.5
